male,race_ethnicity,frpl,iep,ell,ever_alternative,ap_ever_take_class,math_ss,read_ss,pct_days_absent,gpa,scale_score_11_eng,scale_score_11_math,scale_score_11_read,scale_score_11_comp,hs_diploma
no,White,yes,no,no,yes,no,,,10.664031,1.23,22.0,18.0,19.0,20.0,1
no,White,yes,no,no,no,no,18.0,46.0,0.96900493,2.8227949,15.0,16.0,18.0,16.0,1
no,White,no,no,no,yes,no,18.0,35.0,4.746706,0.33000001,,,,,0
no,White,yes,yes,no,no,no,48.0,80.0,6.850071,2.9850001,21.0,23.0,27.0,24.0,1
yes,White,yes,no,no,no,no,18.0,30.0,5.8026314,2.1185,13.0,16.0,14.0,15.0,1
no,White,yes,no,no,no,no,18.0,30.0,8.4662762,1.705,11.0,15.0,14.0,13.0,1
yes,White,yes,no,no,yes,no,31.0,51.0,1.9733728,2.6607499,9.0,15.0,11.0,13.0,1
yes,White,no,no,no,yes,no,,,2.9497039,,,,,,0
yes,African-American,yes,yes,no,yes,no,0.0,24.0,24.675926,2.0205002,,,,,1
no,White,yes,no,no,no,no,14.0,34.0,6.1771431,2.7610002,9.0,13.0,12.0,12.0,1
yes,White,yes,no,no,no,yes,26.0,23.0,5.0014324,3.0005,16.0,15.0,17.0,18.0,1
no,White,yes,no,no,yes,no,55.0,66.0,13.785586,3.173095,,,,,0
no,Asian/Pacific Islander,no,no,no,no,no,61.0,68.0,1.1957142,4.0,35.0,35.0,34.0,35.0,1
yes,White,yes,no,no,yes,no,19.0,28.0,0.76592594,3.2189999,12.0,15.0,14.0,14.0,1
yes,White,yes,no,no,no,no,52.0,51.0,3.4701602,2.6855001,17.0,21.0,17.0,17.0,1
no,White,no,no,no,yes,no,51.0,61.0,9.6209526,2.75705,21.0,18.0,25.0,23.0,1
no,White,no,no,no,yes,yes,72.0,51.0,7.4352775,3.7153449,24.0,20.0,21.0,21.0,1
no,White,yes,no,no,no,yes,39.0,34.0,10.391369,2.7395,18.0,16.0,19.0,18.0,1
yes,African-American,no,no,no,yes,no,50.0,57.0,5.1275969,2.5878501,16.0,19.0,24.0,21.0,1
yes,White,yes,no,no,no,no,,,2.2182596,2.80515,20.0,18.0,19.0,20.0,1
